exam_score,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
52.8,23,female,b.sc,0.31,57.2,yes,9.1,good,coaching,low,hard
68.9,23,other,bca,3.74,72.4,yes,9.7,good,mixed,high,moderate
38.8,20,male,b.com,4.94,45.1,yes,9.2,poor,group study,low,hard
79.4,21,female,bca,7.29,54.5,yes,6.9,poor,online videos,high,hard
37.0,20,female,b.com,0.08,81.8,yes,5.0,poor,coaching,low,easy
79.5,22,female,diploma,6.08,99.3,yes,9.7,average,self-study,low,easy
54.6,19,male,ba,2.74,97.0,yes,9.6,good,mixed,medium,moderate
63.1,20,other,b.sc,4.32,81.6,yes,4.2,poor,group study,high,easy
76.1,24,male,b.tech,0.08,93.1,yes,8.2,average,coaching,high,easy
62.3,23,female,b.sc,4.27,75.4,yes,4.5,average,mixed,low,hard
51.8,20,male,bba,4.31,54.1,yes,7.4,good,online videos,low,moderate
58.6,19,other,b.com,4.52,90.6,yes,5.3,good,coaching,high,easy
82.8,17,female,ba,7.06,98.4,yes,5.6,poor,group study,high,moderate
84.7,22,female,b.sc,6.15,76.2,no,7.1,average,self-study,high,moderate
28.7,23,female,diploma,0.9,42.3,yes,6.4,poor,coaching,low,moderate
26.6,18,other,bca,0.08,85.9,no,5.5,average,group study,low,hard
37.0,22,other,b.tech,1.13,72.1,yes,7.7,average,self-study,high,moderate
90.0,18,male,b.tech,4.93,81.8,no,8.9,average,coaching,high,moderate
50.7,24,other,b.sc,1.5,67.6,yes,4.6,average,mixed,low,hard
69.2,18,female,ba,2.89,57.6,yes,6.2,good,mixed,high,easy
31.1,24,other,ba,1.3,99.4,yes,5.2,average,group study,low,moderate
41.6,21,male,bca,2.62,68.4,yes,6.2,average,online videos,high,easy
66.3,22,male,b.com,0.69,92.4,yes,6.9,poor,group study,high,easy
24.0,24,other,b.sc,1.82,60.5,yes,4.2,good,self-study,low,easy
75.8,19,male,bba,7.08,59.8,yes,5.0,good,group study,high,easy
67.2,19,male,ba,4.08,59.9,yes,5.0,good,group study,high,easy
53.1,17,male,b.tech,6.32,40.6,yes,6.8,average,self-study,medium,moderate
38.9,17,other,b.tech,0.74,64.7,yes,9.9,poor,group study,low,moderate
58.7,21,female,b.com,4.85,55.5,yes,9.8,poor,online videos,high,moderate
100.0,18,male,b.com,7.79,80.5,yes,5.8,average,mixed,low,easy
62.9,17,other,ba,1.92,90.4,yes,9.0,poor,group study,high,moderate
100.0,20,other,bca,7.68,73.9,yes,7.0,average,self-study,low,moderate
39.9,21,other,b.sc,1.13,50.8,yes,7.3,poor,self-study,high,hard
73.7,19,other,bca,4.52,61.9,yes,6.3,average,online videos,high,moderate
59.7,24,female,bba,0.4,75.1,yes,6.2,good,coaching,high,easy
61.2,23,female,bca,1.01,50.2,yes,7.7,poor,coaching,medium,easy
100.0,23,male,diploma,7.63,88.9,yes,7.9,poor,group study,high,moderate
28.3,24,other,b.com,0.64,71.7,no,5.2,average,group study,high,easy
44.2,22,male,b.tech,5.72,44.8,yes,5.6,good,online videos,low,moderate
100.0,17,male,b.com,7.74,84.5,yes,7.9,good,self-study,high,moderate
74.5,21,other,b.com,7.81,97.3,yes,8.7,average,online videos,medium,moderate
59.4,22,other,b.tech,5.04,43.6,yes,8.6,good,mixed,low,moderate
52.9,22,other,b.com,1.38,73.9,yes,9.3,average,online videos,medium,hard
91.4,18,other,ba,6.44,87.8,yes,7.9,good,group study,medium,moderate
46.9,22,other,ba,0.33,76.0,yes,7.4,good,self-study,medium,easy
72.0,18,male,bca,4.28,82.2,yes,5.9,average,mixed,high,hard
69.7,21,other,b.com,3.9,71.4,yes,4.6,average,self-study,medium,moderate
94.9,19,other,bca,3.33,89.9,yes,4.6,good,coaching,high,easy
50.1,24,female,bca,2.55,98.0,yes,9.8,poor,coaching,low,moderate
33.3,21,male,diploma,1.46,73.2,yes,5.6,good,self-study,medium,easy
83.7,17,other,bca,4.45,87.8,yes,5.4,average,online videos,medium,moderate
79.9,20,male,bba,7.1,78.6,no,5.9,poor,group study,medium,easy
54.9,21,other,b.com,2.81,87.6,no,5.9,good,online videos,low,hard
40.9,18,female,b.tech,0.26,66.9,yes,5.6,average,coaching,low,moderate
64.9,19,female,diploma,7.29,69.2,yes,4.3,poor,online videos,low,easy
49.0,24,female,b.com,3.02,84.7,yes,7.3,good,self-study,medium,moderate
99.5,23,other,b.com,6.47,92.3,yes,5.3,good,online videos,low,moderate
19.8,17,male,b.tech,0.98,59.9,yes,9.2,poor,self-study,low,moderate
55.8,17,male,ba,0.68,85.5,yes,7.6,good,online videos,low,easy
64.3,22,other,ba,4.91,99.1,yes,8.3,average,online videos,low,hard
53.9,20,female,bca,1.53,46.4,yes,6.7,good,self-study,medium,easy
39.8,18,other,b.tech,6.04,41.8,yes,8.3,poor,self-study,low,hard
49.0,19,male,ba,0.08,82.5,yes,4.4,average,online videos,high,easy
68.4,19,female,b.sc,4.7,52.3,yes,9.1,good,coaching,low,moderate
88.5,21,female,bba,6.83,97.9,yes,6.5,average,group study,medium,easy
65.0,19,male,ba,4.5,80.0,yes,9.5,good,mixed,low,hard
64.7,18,other,b.tech,3.75,45.4,yes,9.8,average,coaching,low,hard
61.8,20,male,bca,3.27,50.9,yes,6.5,good,coaching,medium,easy
89.9,21,female,b.com,6.02,82.4,yes,9.2,poor,mixed,medium,hard
82.2,21,female,b.com,4.59,54.7,yes,4.3,good,mixed,high,easy
68.1,23,female,b.tech,6.39,86.9,yes,6.8,average,group study,high,easy
70.7,22,female,b.sc,5.44,69.1,no,7.2,average,coaching,low,moderate
64.7,19,other,b.com,3.96,70.9,yes,7.5,good,coaching,high,moderate
53.8,22,other,b.com,3.89,58.5,yes,5.8,good,online videos,medium,easy
74.4,24,other,ba,5.07,98.1,no,7.3,average,coaching,low,easy
19.6,18,other,diploma,0.44,54.5,yes,5.0,poor,online videos,low,moderate
74.3,20,other,b.com,4.1,62.4,no,5.2,good,coaching,high,easy
51.7,24,other,diploma,2.3,75.6,no,9.1,average,coaching,high,moderate
88.4,18,other,b.com,6.3,72.5,yes,7.3,poor,self-study,high,hard
83.5,23,female,bba,6.37,83.6,yes,9.3,poor,online videos,high,easy
36.5,17,male,b.com,2.38,51.4,no,4.6,average,self-study,high,moderate
64.1,21,female,diploma,5.47,86.0,yes,7.5,average,self-study,medium,moderate
46.3,17,other,b.com,4.65,65.9,yes,7.1,average,self-study,low,easy
69.3,20,female,bba,7.62,48.6,yes,6.0,average,online videos,medium,hard
48.6,22,male,b.sc,2.55,91.9,yes,4.8,good,self-study,high,easy
57.2,24,other,b.sc,0.48,67.4,yes,5.8,good,group study,medium,moderate
51.3,17,female,bca,0.6,99.1,yes,7.4,good,coaching,high,moderate
84.6,24,other,ba,6.25,60.6,yes,7.7,average,self-study,medium,moderate
40.2,18,male,ba,0.25,59.5,yes,6.6,average,mixed,medium,hard
63.9,20,other,ba,6.85,71.5,no,6.7,good,group study,medium,easy
36.9,24,female,bba,1.19,89.7,no,6.0,poor,group study,low,hard
64.6,23,female,diploma,4.13,72.7,yes,6.7,average,mixed,high,moderate
50.6,19,male,bca,4.5,60.1,yes,7.5,poor,mixed,high,easy
47.3,22,male,ba,0.24,73.5,yes,9.6,good,coaching,medium,moderate
78.6,19,male,b.tech,6.67,40.6,no,8.6,poor,mixed,high,moderate
100.0,17,other,b.com,7.41,93.0,yes,6.0,poor,coaching,medium,hard
39.0,24,female,bca,2.79,51.9,yes,4.4,poor,group study,low,easy
53.4,17,female,bba,2.6,53.9,yes,8.5,good,online videos,medium,hard
71.2,20,female,bba,7.02,51.7,yes,8.0,poor,mixed,low,moderate
61.6,17,female,b.sc,0.8,96.2,yes,9.0,poor,group study,high,moderate
55.1,18,male,b.sc,1.82,84.1,yes,8.8,poor,self-study,medium,moderate
38.6,19,female,diploma,2.91,45.1,no,8.1,poor,coaching,low,moderate
63.1,20,male,diploma,5.48,64.8,yes,8.4,poor,self-study,medium,moderate
48.2,22,female,ba,2.64,45.8,yes,8.9,good,online videos,high,moderate
50.1,18,other,b.tech,3.93,50.7,yes,6.1,average,online videos,low,moderate
82.7,23,female,b.com,7.71,86.3,yes,9.2,average,mixed,low,easy
19.599,22,male,b.tech,0.08,48.4,no,4.2,poor,online videos,medium,easy
76.6,20,other,b.sc,7.71,62.6,yes,8.3,good,group study,medium,moderate
57.7,24,female,b.com,5.41,65.2,yes,7.5,average,self-study,medium,moderate
62.9,20,other,bba,3.56,73.3,yes,6.9,poor,coaching,high,hard
44.8,24,female,bba,0.26,91.6,no,7.2,average,coaching,medium,hard
83.9,19,male,ba,7.91,77.9,no,7.6,poor,self-study,high,moderate
46.7,19,other,diploma,0.08,57.2,no,5.9,poor,group study,high,easy
50.7,21,male,b.com,1.66,99.4,yes,5.1,poor,group study,high,moderate
92.6,22,female,diploma,4.99,95.1,no,9.9,good,online videos,high,moderate
51.0,24,female,b.sc,3.11,81.7,yes,4.6,poor,group study,low,moderate
62.2,24,female,bba,3.76,44.1,no,7.7,poor,mixed,medium,moderate
87.3,17,male,b.sc,7.12,98.7,yes,5.3,poor,coaching,medium,hard
82.0,23,male,bca,7.91,93.7,yes,4.1,good,mixed,medium,moderate
89.9,22,other,b.com,7.78,52.1,yes,9.6,average,group study,high,moderate
36.2,19,female,b.sc,0.97,61.6,yes,9.6,average,mixed,medium,moderate
65.6,19,male,b.com,3.84,66.8,yes,7.0,poor,online videos,high,moderate
64.1,21,male,bca,7.87,50.9,yes,7.9,poor,coaching,medium,hard
73.3,20,female,b.tech,7.91,57.8,yes,6.4,poor,mixed,high,moderate
49.7,18,female,b.tech,3.09,58.5,yes,7.9,good,group study,medium,moderate
69.3,24,other,ba,0.65,66.7,yes,6.7,good,self-study,medium,moderate
65.1,19,male,ba,6.48,55.6,yes,8.0,average,group study,low,moderate
46.4,18,male,ba,3.87,59.6,yes,6.4,poor,online videos,medium,moderate
75.1,22,male,diploma,7.74,61.6,no,5.4,average,coaching,low,hard
82.4,22,female,bba,6.07,82.5,yes,6.6,good,coaching,medium,moderate
92.8,21,female,b.sc,6.93,51.2,yes,9.6,poor,coaching,high,easy
36.7,19,other,ba,4.85,54.6,yes,6.0,poor,online videos,low,moderate
81.4,24,male,b.com,7.37,76.9,yes,7.9,average,online videos,high,hard
88.1,20,other,diploma,6.54,67.8,yes,8.5,poor,coaching,medium,hard
91.3,18,other,bba,6.57,90.1,no,7.9,average,online videos,low,moderate
91.1,20,other,b.sc,6.77,88.1,no,9.5,good,online videos,low,hard
53.3,21,other,b.com,2.67,85.4,yes,7.7,average,self-study,high,moderate
71.6,22,male,bba,7.16,99.4,yes,7.3,poor,online videos,low,moderate
70.9,20,female,b.com,5.09,63.4,yes,8.6,good,online videos,medium,hard
85.4,22,other,bca,7.49,57.4,yes,5.0,poor,coaching,medium,moderate
37.6,19,female,bba,0.77,62.7,yes,6.1,poor,group study,medium,easy
77.2,19,male,diploma,7.64,71.2,yes,4.6,poor,mixed,high,easy
19.9,24,female,diploma,0.84,47.2,no,8.9,poor,mixed,medium,hard
75.5,24,other,ba,6.85,77.9,yes,4.3,poor,coaching,high,moderate
94.7,24,other,ba,7.13,54.9,yes,9.5,good,coaching,high,easy
43.8,18,other,diploma,3.33,49.2,no,5.0,poor,coaching,low,moderate
71.0,24,other,bca,6.59,65.4,no,5.2,average,mixed,medium,hard
76.3,20,other,b.tech,7.62,69.7,no,4.3,good,self-study,medium,hard
49.9,19,other,b.com,2.58,82.9,no,8.6,good,self-study,low,moderate
42.7,23,other,bba,1.75,61.7,yes,4.4,poor,self-study,low,easy
33.5,24,female,bba,2.51,46.7,no,6.6,poor,coaching,low,easy
64.3,23,male,ba,3.53,57.0,yes,9.2,good,coaching,medium,easy
68.9,17,male,ba,2.55,79.6,yes,5.2,good,self-study,medium,hard
54.1,18,other,b.com,1.34,56.2,yes,6.0,poor,coaching,high,hard
58.3,23,male,bca,3.31,46.2,yes,5.9,good,self-study,medium,moderate
67.6,22,other,b.tech,2.92,76.7,yes,6.0,average,coaching,low,easy
75.3,21,male,b.sc,7.25,71.3,yes,4.6,average,group study,high,easy
99.5,23,female,b.tech,2.87,98.1,yes,8.3,good,group study,high,hard
70.9,24,other,bba,4.52,86.9,yes,4.3,average,mixed,high,moderate
62.3,24,female,b.sc,4.49,85.4,yes,7.1,good,self-study,medium,moderate
38.8,19,other,bca,2.1,68.3,yes,9.1,poor,online videos,low,hard
27.3,24,female,b.tech,0.94,87.9,yes,4.7,poor,mixed,high,easy
38.2,21,male,bca,0.95,98.7,yes,6.3,average,self-study,low,moderate
71.5,19,female,b.sc,4.78,54.6,no,6.7,good,online videos,high,easy
89.6,22,other,diploma,4.06,99.2,yes,4.6,good,mixed,high,hard
64.0,24,male,bba,3.73,99.2,yes,4.9,poor,coaching,medium,easy
56.2,19,other,bba,2.03,42.8,yes,9.3,good,group study,medium,moderate
96.9,22,female,bca,6.64,62.2,yes,6.1,average,mixed,high,easy
38.5,24,male,b.com,1.08,63.4,yes,9.2,poor,online videos,low,moderate
47.2,19,female,b.sc,4.83,68.8,yes,8.4,poor,online videos,low,moderate
48.0,23,other,b.tech,2.61,64.0,no,7.9,good,self-study,high,moderate
30.9,22,female,b.sc,1.3,96.4,yes,9.7,average,group study,low,moderate
85.8,22,female,diploma,6.66,80.7,yes,4.2,good,self-study,medium,moderate
49.4,23,female,b.com,2.81,93.5,yes,6.0,poor,self-study,medium,hard
72.2,20,female,b.com,5.29,82.4,yes,8.0,average,coaching,medium,moderate
67.4,24,male,ba,2.03,84.9,yes,5.1,poor,group study,high,moderate
49.9,20,other,b.com,1.05,95.1,yes,6.1,average,group study,medium,hard
91.1,24,other,b.tech,4.54,91.0,no,7.9,average,group study,low,hard
65.3,21,male,diploma,6.37,57.4,no,8.0,poor,mixed,high,hard
40.4,20,female,b.com,0.23,83.2,yes,5.9,good,online videos,high,moderate
67.6,18,other,bba,1.96,55.9,yes,5.7,good,self-study,low,moderate
38.1,19,female,ba,1.04,53.1,yes,5.3,average,coaching,medium,easy
78.2,17,male,b.tech,4.72,84.9,yes,5.2,good,self-study,medium,moderate
91.7,23,other,bba,7.18,80.1,yes,5.2,average,coaching,high,easy
76.8,20,other,diploma,5.86,56.7,yes,7.2,average,mixed,high,easy
66.7,17,female,diploma,5.37,89.9,yes,5.4,poor,coaching,low,moderate
73.6,21,other,b.com,4.88,80.0,yes,5.2,poor,online videos,high,hard
82.6,22,other,ba,6.07,93.0,yes,9.3,poor,group study,medium,easy
68.0,21,female,bca,2.14,70.9,yes,5.9,good,mixed,high,easy
63.9,19,female,ba,4.0,99.0,yes,6.6,average,online videos,low,easy
39.3,18,other,diploma,2.74,48.5,yes,8.0,poor,coaching,low,hard
65.4,22,female,b.com,4.85,43.3,yes,5.6,poor,coaching,medium,moderate
79.5,22,male,b.com,6.35,94.9,yes,9.0,poor,self-study,high,moderate
67.1,19,female,b.tech,4.89,69.7,yes,5.4,poor,online videos,high,easy
56.9,21,female,ba,3.44,50.9,yes,5.8,good,mixed,medium,moderate
41.3,17,other,b.tech,1.27,82.1,yes,6.3,poor,online videos,high,hard
58.2,20,male,ba,4.99,65.0,yes,9.6,good,online videos,medium,moderate
52.6,21,female,ba,7.46,89.4,no,8.5,average,self-study,low,easy
72.9,18,female,b.sc,6.78,68.0,yes,9.9,good,group study,medium,moderate
75.2,17,other,b.com,2.73,75.7,yes,8.8,average,mixed,high,easy
58.8,22,other,diploma,2.2,60.6,yes,8.4,average,online videos,high,hard
49.9,24,other,b.com,1.65,53.7,no,6.6,poor,online videos,high,easy
100.0,22,female,b.sc,6.94,90.5,yes,4.7,good,online videos,high,easy
63.1,20,female,bba,4.39,44.8,yes,7.3,average,group study,high,easy
49.7,19,male,bba,0.73,86.3,yes,8.5,average,mixed,high,moderate
71.1,19,female,bba,7.39,89.2,yes,7.6,average,self-study,low,moderate
100.0,22,male,bca,7.26,88.8,yes,4.9,poor,group study,high,easy
45.3,24,other,ba,0.46,90.4,yes,8.6,good,online videos,low,moderate
51.7,21,female,bca,0.43,45.9,no,5.0,poor,group study,high,moderate
78.2,19,male,diploma,5.3,59.3,yes,5.9,average,group study,medium,hard
69.2,20,male,diploma,7.56,89.6,yes,8.9,poor,self-study,low,moderate
79.8,18,male,diploma,6.9,51.1,yes,6.3,average,mixed,low,easy
82.1,20,other,b.sc,3.06,83.7,yes,5.2,good,coaching,low,hard
100.0,23,male,diploma,7.35,70.6,yes,7.1,good,online videos,high,moderate
35.7,22,other,bba,2.47,66.2,yes,6.0,average,self-study,medium,easy
53.0,24,female,b.sc,2.8,41.4,yes,8.9,poor,online videos,low,easy
73.5,18,female,bca,5.73,50.3,yes,9.7,average,coaching,low,easy
35.9,22,other,b.tech,1.26,90.7,yes,7.8,average,group study,low,hard
32.5,22,other,diploma,1.0,50.1,yes,6.9,good,self-study,high,easy
81.9,21,other,bca,6.33,71.1,yes,6.4,average,coaching,high,moderate
100.0,20,other,ba,7.91,85.4,yes,5.9,good,group study,high,moderate
75.0,22,male,bca,6.56,45.8,yes,8.4,poor,mixed,high,easy
48.1,17,male,b.tech,1.81,66.2,yes,6.1,average,self-study,high,moderate
69.4,23,female,bca,7.86,49.5,yes,7.5,poor,mixed,high,easy
20.6,23,female,b.tech,0.48,89.3,yes,6.5,good,online videos,medium,easy
68.9,23,male,bca,3.67,77.7,yes,5.9,good,group study,low,hard
64.4,18,female,b.com,5.79,41.5,yes,8.7,poor,online videos,medium,easy
68.0,21,male,bca,4.55,91.8,yes,6.2,poor,online videos,high,moderate
80.5,19,male,bca,7.53,80.1,yes,5.0,average,online videos,low,moderate
70.6,18,other,bca,5.94,59.7,yes,9.0,poor,online videos,medium,moderate
69.1,22,female,bca,1.83,62.6,yes,7.7,poor,coaching,high,easy
59.5,20,male,bca,0.88,85.0,yes,9.7,average,mixed,low,moderate
57.3,24,female,bba,0.96,79.4,yes,8.6,poor,self-study,high,moderate
51.8,19,other,diploma,0.52,85.8,yes,9.0,good,group study,medium,moderate
29.5,22,female,b.com,0.64,64.7,yes,6.5,poor,self-study,low,moderate
42.4,22,male,ba,1.12,68.9,no,6.4,good,self-study,low,moderate
85.3,24,female,b.sc,6.55,94.1,yes,9.3,average,coaching,medium,moderate
77.4,23,female,bba,6.41,79.6,yes,5.7,average,mixed,medium,moderate
76.4,22,other,b.com,7.6,71.9,yes,7.2,average,online videos,high,hard
55.2,21,male,diploma,4.69,53.8,yes,6.9,average,coaching,medium,hard
46.1,20,male,bba,0.81,96.2,yes,8.5,poor,online videos,high,easy
85.2,18,male,b.com,6.96,72.4,no,6.5,good,self-study,high,easy
36.3,18,female,b.com,1.79,55.3,no,7.1,poor,self-study,medium,hard
83.1,21,male,b.com,3.99,93.8,yes,9.3,good,self-study,medium,moderate
73.8,22,female,b.com,7.88,92.2,yes,9.3,poor,mixed,low,moderate
62.6,18,male,b.com,5.55,92.2,no,5.9,poor,online videos,medium,moderate
43.9,21,other,b.com,4.38,74.4,yes,5.6,poor,mixed,low,hard
98.6,22,female,bca,6.31,75.9,yes,6.6,good,coaching,medium,easy
67.5,23,male,b.sc,4.16,65.0,yes,7.7,average,online videos,high,moderate
99.8,20,male,ba,7.64,86.2,yes,8.1,good,mixed,low,moderate
31.8,17,male,diploma,0.08,46.5,yes,5.3,average,online videos,high,easy
41.8,23,other,b.sc,4.0,53.8,yes,9.3,poor,self-study,high,easy
77.9,23,male,b.tech,6.35,86.1,yes,5.7,average,self-study,high,moderate
61.7,18,male,bca,4.07,86.6,yes,7.5,average,group study,medium,moderate
82.6,19,female,ba,7.79,60.1,yes,7.2,average,mixed,high,easy
54.7,23,other,bba,2.11,51.8,yes,6.3,average,online videos,high,easy
49.8,17,male,b.com,1.91,76.5,yes,7.5,average,mixed,medium,easy
38.8,17,other,bba,0.72,93.1,yes,7.6,average,mixed,medium,easy
91.0,19,male,diploma,3.96,69.2,no,5.7,good,online videos,high,moderate
55.7,17,male,bca,6.23,41.8,yes,8.7,poor,self-study,high,moderate
46.9,17,male,bba,4.01,84.1,yes,5.5,poor,self-study,low,moderate
69.8,21,other,bba,7.85,45.1,no,7.9,average,group study,medium,easy
46.9,21,male,b.sc,5.08,96.4,no,5.7,poor,online videos,low,moderate
64.0,20,other,b.sc,1.56,90.7,yes,9.9,good,online videos,high,easy
46.3,21,female,diploma,4.65,72.0,no,5.2,poor,online videos,medium,moderate
28.6,21,male,diploma,0.28,81.8,yes,4.8,average,self-study,medium,easy
39.4,20,female,b.sc,2.79,42.2,yes,5.3,poor,online videos,low,moderate
56.1,21,male,b.com,3.28,52.1,no,8.1,average,mixed,medium,easy
83.9,24,male,b.sc,6.81,43.6,yes,5.0,average,online videos,high,moderate
79.3,17,female,bca,2.7,81.1,yes,7.5,good,coaching,high,moderate
46.2,22,male,b.sc,4.24,50.5,yes,4.6,average,mixed,medium,moderate
100.0,21,other,b.sc,5.28,64.1,yes,4.6,average,coaching,high,moderate
59.4,20,other,b.sc,5.29,56.7,yes,5.6,average,self-study,low,moderate
81.1,19,male,ba,6.69,74.9,yes,9.4,average,group study,low,moderate
66.7,18,female,bba,5.13,74.0,yes,9.1,average,coaching,medium,easy
43.4,23,other,bca,2.92,65.4,no,6.3,poor,group study,high,hard
34.3,17,male,diploma,2.96,44.8,yes,6.1,average,self-study,low,hard
66.9,22,male,ba,4.96,55.0,yes,4.6,poor,online videos,high,moderate
82.0,24,female,bba,7.49,95.2,yes,4.2,poor,coaching,low,moderate
74.2,24,female,bca,5.53,59.5,yes,4.4,poor,coaching,high,hard
80.1,18,male,diploma,7.69,86.0,yes,6.1,average,online videos,low,moderate
38.0,24,other,diploma,2.53,89.1,yes,5.9,poor,coaching,low,hard
67.7,22,female,ba,3.65,66.1,yes,8.5,poor,online videos,high,hard
40.0,17,other,b.sc,4.38,45.2,yes,4.7,average,online videos,low,moderate
71.6,20,other,diploma,7.91,68.7,yes,7.5,average,online videos,medium,moderate
20.8,17,male,b.tech,0.98,67.8,yes,5.3,poor,coaching,low,moderate
59.5,21,female,diploma,3.93,79.5,yes,5.2,good,self-study,low,hard
51.7,20,female,diploma,0.5,60.9,yes,6.2,good,self-study,medium,easy
41.2,23,female,ba,0.45,73.8,yes,7.3,poor,coaching,medium,easy
96.2,17,other,b.com,7.72,69.0,yes,7.9,good,self-study,high,hard
50.9,24,male,b.tech,2.6,86.5,yes,6.2,poor,online videos,low,moderate
80.7,20,other,bba,4.28,81.4,yes,8.6,good,coaching,low,moderate
65.7,23,female,ba,5.06,71.7,yes,4.3,poor,online videos,high,easy
43.7,20,female,bca,2.92,64.7,yes,5.5,poor,group study,high,moderate
23.4,17,female,diploma,0.18,92.9,yes,6.7,poor,group study,low,easy
61.7,17,male,b.com,7.42,55.3,yes,7.3,average,group study,medium,moderate
60.2,23,female,bba,0.67,78.4,no,5.9,good,online videos,high,easy
60.6,24,male,bca,3.28,77.3,yes,9.1,good,self-study,low,easy
73.4,24,other,diploma,5.8,90.1,yes,7.8,poor,online videos,low,easy
46.9,20,female,b.sc,5.79,68.7,yes,4.5,poor,group study,medium,easy
40.1,20,female,b.sc,0.28,51.3,yes,9.8,average,online videos,medium,moderate
47.6,22,male,b.com,0.83,68.0,yes,5.0,poor,self-study,low,hard
51.5,21,female,bba,6.38,46.0,yes,4.8,poor,coaching,medium,moderate
89.9,18,other,b.sc,7.28,99.3,yes,8.2,average,mixed,low,easy
76.4,24,male,bca,7.17,92.4,yes,6.4,good,group study,low,easy
60.7,21,female,bca,5.21,43.7,yes,6.6,average,self-study,medium,hard
76.4,19,male,bca,6.39,94.1,yes,6.0,good,online videos,high,easy
60.5,17,other,b.tech,0.21,98.7,yes,9.7,average,self-study,low,easy
75.3,19,male,bba,2.58,98.5,yes,8.7,average,group study,high,moderate
100.0,21,male,b.tech,7.56,94.5,yes,8.7,good,online videos,medium,moderate
43.1,19,other,bba,3.04,61.3,yes,8.7,poor,group study,low,moderate
78.9,22,male,bca,7.72,95.6,no,5.7,good,online videos,medium,easy
98.2,24,female,bca,6.6,74.5,yes,6.5,good,group study,medium,moderate
39.0,23,other,bca,3.18,53.0,no,8.1,average,online videos,low,easy
88.3,24,female,ba,5.76,53.7,yes,6.5,good,coaching,high,easy
87.6,21,male,diploma,5.69,87.6,yes,8.8,good,group study,high,easy
68.8,24,other,b.tech,5.12,91.7,yes,9.4,average,group study,low,moderate
94.2,21,female,bba,7.06,97.6,yes,6.7,good,coaching,high,moderate
72.7,20,other,b.tech,7.26,82.9,yes,8.0,average,online videos,medium,easy
95.3,19,female,ba,6.79,96.8,yes,4.6,good,online videos,medium,moderate
45.2,21,female,bca,3.16,42.1,yes,7.6,poor,online videos,low,moderate
35.7,21,female,b.com,1.13,89.0,yes,8.8,poor,self-study,low,moderate
71.8,22,other,ba,5.84,46.0,yes,5.5,good,online videos,low,moderate
27.7,20,male,bca,1.19,71.3,yes,9.8,average,self-study,low,easy
100.0,21,female,b.tech,6.38,84.1,yes,8.7,average,coaching,low,easy
68.3,20,female,b.sc,6.05,56.2,yes,5.6,average,group study,high,hard
92.5,24,other,bba,6.71,70.9,yes,5.6,good,mixed,medium,easy
54.8,18,other,b.sc,5.68,40.6,no,5.3,poor,group study,high,moderate
57.7,21,male,ba,3.85,43.5,no,9.4,average,mixed,medium,moderate
84.2,20,other,ba,5.13,93.0,yes,6.9,good,coaching,high,moderate
81.3,24,female,b.com,7.68,50.2,yes,6.9,poor,coaching,medium,moderate
83.0,21,other,b.tech,5.25,62.1,yes,9.6,average,online videos,medium,easy
82.1,24,female,ba,6.05,68.0,yes,8.4,poor,mixed,high,hard
69.5,24,male,b.tech,2.57,81.1,yes,6.3,good,coaching,low,moderate
49.8,21,female,ba,1.74,57.7,yes,6.5,poor,mixed,medium,moderate
36.2,18,other,b.tech,0.31,67.3,yes,9.1,average,mixed,high,easy
86.6,23,male,bba,4.24,78.2,yes,9.1,average,mixed,medium,hard
31.6,17,male,ba,1.16,56.7,yes,4.4,poor,coaching,low,moderate
76.1,23,other,bba,1.95,99.3,yes,8.7,good,coaching,low,moderate
75.7,19,male,b.sc,5.32,71.8,yes,5.4,average,group study,medium,moderate
43.1,17,other,diploma,2.3,61.5,yes,8.3,average,self-study,low,moderate
74.9,19,female,b.sc,7.91,82.3,no,5.0,good,self-study,high,easy
41.7,22,male,diploma,1.34,59.8,yes,9.3,good,online videos,low,hard
33.0,24,female,b.com,0.53,63.3,yes,7.7,poor,self-study,high,moderate
84.0,18,female,b.com,4.08,75.4,yes,8.4,average,coaching,medium,moderate
74.1,24,male,bba,4.0,92.9,yes,8.3,average,online videos,low,moderate
70.1,24,other,b.tech,5.46,54.9,yes,4.1,good,coaching,medium,hard
35.8,20,female,ba,0.08,79.5,yes,6.5,average,online videos,medium,moderate
68.4,17,female,bca,4.76,48.7,yes,9.4,poor,coaching,low,easy
50.9,21,male,bca,2.64,59.9,no,4.1,poor,coaching,low,easy
67.6,19,other,b.sc,2.76,92.7,yes,6.1,average,coaching,low,moderate
54.1,22,other,ba,3.05,61.0,yes,8.1,poor,group study,medium,easy
97.7,20,other,bca,6.99,94.3,yes,6.6,poor,group study,high,hard
71.8,24,male,bba,6.3,75.6,yes,4.8,average,online videos,high,moderate
39.0,21,male,b.tech,3.01,78.0,no,4.1,poor,online videos,low,moderate
35.9,17,male,bca,1.75,45.8,yes,6.2,average,group study,medium,hard
67.7,17,female,ba,6.69,77.1,yes,6.7,poor,online videos,low,moderate
19.599,21,female,diploma,0.29,72.4,no,4.3,average,group study,low,easy
61.6,17,male,b.sc,2.19,69.5,yes,7.9,average,self-study,high,moderate
100.0,20,female,b.com,5.81,92.0,yes,7.4,average,online videos,high,easy
67.9,22,female,b.com,4.33,56.3,yes,5.8,average,mixed,medium,easy
